,unixtime,location,currency,buy_price,buy_quantity,sell_price,sell_quantity
14,1578430341.5,AUXSG,GBP,38420,0.934,38570,0.946
15,1578430341.5,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430341.5,AGXZU,USD,590,7.463,592,4.999
17,1578430341.5,AGXZU,GBP,448,54.201,450,0.543
18,1578430341.5,AGXZU,EUR,525,9.996,528,55.182
19,1578430341.5,AGXLN,USD,590,27.263,591,1.996
20,1578430341.5,AGXLN,GBP,448,54.435,450,3.318
21,1578430341.5,AGXLN,EUR,528,41.732,531,14.965
22,1578430341.5,AGXTR,USD,589,27.225,595,0.623
23,1578430341.5,AGXTR,GBP,448,26.231,456,26.861
24,1578430341.5,AGXTR,EUR,528,26.708,536,6.23
25,1578430341.5,AGXSG,USD,590,7.463,595,0.093
26,1578430341.5,AGXSG,GBP,448,26.231,455,2
27,1578430341.5,AGXSG,EUR,528,26.708,535,3
28,1578430341.5,PTXLN,USD,31080,0.666,31340,0.647
29,1578430341.5,PTXLN,GBP,23680,0.628,23880,0.655
30,1578430341.5,PTXLN,EUR,27900,0.1,28120,0.654
0,1578430346.6,AUXZU,USD,50410,0.056,50570,0.948
1,1578430346.6,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430346.6,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430346.6,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430346.6,AUXLN,USD,50410,0.95,50560,0.948
5,1578430346.6,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430346.6,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430346.6,AUXNY,USD,50370,0.95,50590,0.953
8,1578430346.6,AUXNY,GBP,38380,0.948,38570,1.872
9,1578430346.6,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430346.6,AUXTR,USD,50370,0.95,50590,0.953
11,1578430346.6,AUXTR,GBP,38380,0.948,38570,1.872
12,1578430346.6,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430346.6,AUXSG,USD,50410,0.95,50600,0.5
14,1578430346.6,AUXSG,GBP,38420,0.934,38570,0.946
15,1578430346.6,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430346.6,AGXZU,USD,590,7.463,592,4.999
17,1578430346.6,AGXZU,GBP,448,54.201,450,0.543
18,1578430346.6,AGXZU,EUR,525,9.996,528,55.182
19,1578430346.6,AGXLN,USD,590,27.263,591,1.996
20,1578430346.6,AGXLN,GBP,448,54.435,450,3.318
21,1578430346.6,AGXLN,EUR,528,41.732,531,14.965
22,1578430346.6,AGXTR,USD,589,27.225,595,0.623
23,1578430346.6,AGXTR,GBP,448,26.231,456,26.861
24,1578430346.6,AGXTR,EUR,528,26.708,536,6.23
25,1578430346.6,AGXSG,USD,590,7.463,595,0.093
26,1578430346.6,AGXSG,GBP,448,26.231,455,21.349
27,1578430346.6,AGXSG,EUR,528,26.708,535,3
28,1578430346.6,PTXLN,USD,31060,0.638,31330,0.654
29,1578430346.6,PTXLN,GBP,23670,0.639,23870,0.639
30,1578430346.6,PTXLN,EUR,27900,0.1,28110,0.638
0,1578430351.8,AUXZU,USD,50410,0.056,50570,0.948
1,1578430351.8,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430351.8,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430351.8,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430351.8,AUXLN,USD,50410,0.95,50560,0.948
5,1578430351.8,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430351.8,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430351.8,AUXNY,USD,50370,0.95,50590,0.953
8,1578430351.8,AUXNY,GBP,38380,0.948,38570,1.872
9,1578430351.8,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430351.8,AUXTR,USD,50370,0.95,50590,0.953
11,1578430351.8,AUXTR,GBP,38380,0.948,38570,1.872
12,1578430351.8,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430351.8,AUXSG,USD,50410,0.95,50600,0.5
14,1578430351.8,AUXSG,GBP,38420,0.934,38570,0.946
15,1578430351.8,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430351.8,AGXZU,USD,590,7.463,592,4.999
17,1578430351.8,AGXZU,GBP,448,54.201,450,0.543
18,1578430351.8,AGXZU,EUR,525,9.996,528,55.182
19,1578430351.8,AGXLN,USD,590,27.263,591,1.996
20,1578430351.8,AGXLN,GBP,448,54.435,450,3.318
21,1578430351.8,AGXLN,EUR,528,41.732,531,14.965
22,1578430351.8,AGXTR,USD,589,27.225,595,0.623
23,1578430351.8,AGXTR,GBP,448,26.231,456,26.861
24,1578430351.8,AGXTR,EUR,528,26.708,536,6.23
25,1578430351.8,AGXSG,USD,590,7.463,595,0.093
26,1578430351.8,AGXSG,GBP,448,26.231,455,21.349
27,1578430351.8,AGXSG,EUR,528,26.708,535,3
28,1578430351.8,PTXLN,USD,31060,0.638,31330,0.654
29,1578430351.8,PTXLN,GBP,23670,0.639,23870,0.639
30,1578430351.8,PTXLN,EUR,27900,0.1,28110,0.638
0,1578430356.9,AUXZU,USD,50410,0.056,50570,0.948
1,1578430356.9,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430356.9,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430356.9,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430356.9,AUXLN,USD,50410,0.95,50560,0.948
5,1578430356.9,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430356.9,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430356.9,AUXNY,USD,50370,0.95,50590,0.953
8,1578430356.9,AUXNY,GBP,38380,0.948,38570,1.872
9,1578430356.9,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430356.9,AUXTR,USD,50370,0.95,50590,0.953
11,1578430356.9,AUXTR,GBP,38380,0.948,38570,1.872
12,1578430356.9,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430356.9,AUXSG,USD,50410,0.95,50600,0.5
14,1578430356.9,AUXSG,GBP,38420,0.934,38570,0.946
15,1578430356.9,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430356.9,AGXZU,USD,590,7.463,592,4.999
17,1578430356.9,AGXZU,GBP,448,54.201,450,0.543
18,1578430356.9,AGXZU,EUR,525,9.996,528,55.182
19,1578430356.9,AGXLN,USD,590,27.263,591,1.996
20,1578430356.9,AGXLN,GBP,448,54.435,450,3.318
21,1578430356.9,AGXLN,EUR,528,41.732,531,14.965
22,1578430356.9,AGXTR,USD,589,27.225,595,0.623
23,1578430356.9,AGXTR,GBP,448,26.231,456,26.861
24,1578430356.9,AGXTR,EUR,528,26.708,536,6.23
25,1578430356.9,AGXSG,USD,590,7.463,595,0.093
26,1578430356.9,AGXSG,GBP,448,26.231,455,21.349
27,1578430356.9,AGXSG,EUR,528,26.708,535,3
28,1578430356.9,PTXLN,USD,31060,0.638,31330,0.654
29,1578430356.9,PTXLN,GBP,23670,0.639,23870,0.639
30,1578430356.9,PTXLN,EUR,27900,0.1,28110,0.638
0,1578430362.1,AUXZU,USD,50410,0.056,50570,0.948
1,1578430362.1,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430362.1,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430362.1,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430362.1,AUXLN,USD,50410,0.95,50560,0.948
5,1578430362.1,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430362.1,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430362.1,AUXNY,USD,50370,0.95,50590,0.953
8,1578430362.1,AUXNY,GBP,38380,0.948,38570,1.872
9,1578430362.1,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430362.1,AUXTR,USD,50370,0.95,50590,0.953
11,1578430362.1,AUXTR,GBP,38380,0.948,38570,1.872
12,1578430362.1,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430362.1,AUXSG,USD,50410,0.95,50600,0.5
14,1578430362.1,AUXSG,GBP,38420,0.934,38570,0.946
15,1578430362.1,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430362.1,AGXZU,USD,590,7.463,592,4.999
17,1578430362.1,AGXZU,GBP,448,54.201,450,0.543
18,1578430362.1,AGXZU,EUR,525,9.996,528,55.182
19,1578430362.1,AGXLN,USD,590,27.263,591,1.996
20,1578430362.1,AGXLN,GBP,448,54.435,450,3.318
21,1578430362.1,AGXLN,EUR,528,41.732,531,14.965
22,1578430362.1,AGXTR,USD,589,27.225,595,0.623
23,1578430362.1,AGXTR,GBP,448,26.231,456,26.861
24,1578430362.1,AGXTR,EUR,528,26.708,536,6.23
25,1578430362.1,AGXSG,USD,590,7.463,595,0.093
26,1578430362.1,AGXSG,GBP,448,26.231,455,21.349
27,1578430362.1,AGXSG,EUR,528,26.708,535,3
28,1578430362.1,PTXLN,USD,31060,0.638,31330,0.654
29,1578430362.1,PTXLN,GBP,23670,0.639,23870,0.639
30,1578430362.1,PTXLN,EUR,27900,0.1,28110,0.638
0,1578430367.3,AUXZU,USD,50410,0.056,50570,0.948
1,1578430367.3,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430367.3,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430367.3,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430367.3,AUXLN,USD,50410,0.95,50560,0.948
5,1578430367.3,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430367.3,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430367.3,AUXNY,USD,50370,0.95,50590,0.953
8,1578430367.3,AUXNY,GBP,38380,0.948,38570,0.926
9,1578430367.3,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430367.3,AUXTR,USD,50370,0.95,50590,0.953
11,1578430367.3,AUXTR,GBP,38380,0.948,38570,0.926
12,1578430367.3,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430367.3,AUXSG,USD,50410,0.95,50600,0.5
14,1578430367.3,AUXSG,GBP,38420,0.934,38580,1.896
15,1578430367.3,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430367.3,AGXZU,USD,590,7.463,592,4.999
17,1578430367.3,AGXZU,GBP,448,54.201,450,0.543
18,1578430367.3,AGXZU,EUR,525,9.996,528,55.182
19,1578430367.3,AGXLN,USD,590,27.263,591,1.996
20,1578430367.3,AGXLN,GBP,448,54.435,450,3.318
21,1578430367.3,AGXLN,EUR,528,41.732,531,14.965
22,1578430367.3,AGXTR,USD,589,27.225,595,0.623
23,1578430367.3,AGXTR,GBP,448,26.231,456,26.861
24,1578430367.3,AGXTR,EUR,528,26.708,536,6.23
25,1578430367.3,AGXSG,USD,590,7.463,595,0.093
26,1578430367.3,AGXSG,GBP,448,26.231,455,21.349
